id;left;top;right;bottom;Bathy_Max_Mean;Bathy_Mean_Mean;Bathy_Min_Mean;Chl_Mean_Mean;Margin_Sum;Bathy_Max;Shelf_Sum;CurVel_Mean;CurVel_Bot_Mean;Diff_Atte_Mean;Depth_Mean;HumImp_Sum;HumImp_Mean;Ice_Cover_Sum;IceCov_Mean;Ice_Tick_Mean;MixLay_Mean;PhotoActi_Mean;PrimProd_Mean;Salinity_Mean;Silicate_Mean;ThemM_Mean;Them_Max_Mean;Them_Max_Max;Temp_Min_Mean;Temp_Min_Min;ThemR_Mean;Them_Range_Max;Area_Sum;O2_Mean;Nitrate_Mean;Nitrate_Bot_Mean;O2_Bot_Mean;PrimProd_Bot_Mean;Salinity_Bot_Mean;ThemM_Bot_Mean;ThemR_Bot_Mean;NumSpe;NumRec;NumPhy;ES50;NumSpe_Sha;NumRec_Sha;NumPhy_Sha;ES50_Sha;NumSpe_Mes;NumRec_Mes;NumPhy_Mes;ES50_Mes;NumSpe_Dee;NumRec_Dee;NumPhy_Dee;ES50_Dee
1;-180;90;180;85;-3391.912611;-3349.196427;-3305.932368;0.090308108;-237174170;-2442177080;0;0.028719546;0.002405161;0.029473381;-3350.55978;0;;696353.9241;0.967158228;2.458318231;21.21867413;3.87670526;0.357408546;31.71260063;14.41311628;-1.720896984;-1.524393071;-0.847270769;-1.821430762;-1.921555267;0.29703769;0.745416579;1.02E+11;371.1409353;6.478217271;14.86151444;298.4872354;0.013564228;34.92878768;-0.582186246;0.044621128;494;28649;17;33.97297;271;7056;13;33;141;2391;10;29;411;19202;17;29
2;-180;85;180;80;-2387.045654;-2355.192242;-2322.904749;0.113969893;-322305404;-1518671864;-2143793;0.025250056;0.01110555;0.052587187;-2398.942212;5611308;1.900743997;587406.5823;0.92328459;2.363073414;21.68691227;17.20029686;0.470987352;31.70044625;12.50242802;-1.660381591;-1.04768693;8.353572212;-1.824340018;-2;0.777042369;10.09445249;6.54E+11;366.9547632;7.020909772;13.79248727;300.6466428;0.026402072;34.87594455;-0.388474991;0.30302674;1851;47024;21;38.66543;1395;21643;19;38;830;10688;18;38;684;14693;16;36
3;-180;80;180;75;-1010.580138;-990.9461925;-971.3531176;0.219423905;-133218823;-555920134;-9362904;0.034154406;0.021174765;0.082980136;-1026.900144;8203671;1.342031312;386911.6773;0.703347895;1.656301324;36.03600607;19.48476798;0.993620104;31.48073468;12.57422866;-0.911830779;2.116430924;9.58718308;-1.731402595;-2;3.849722542;11.65350475;1.10E+12;367.6480272;5.741201708;10.78724912;314.2160628;0.150749634;34.19265636;-0.307317628;1.107080777;3046;103098;21;41.46835;2390;62235;21;41;1717;22806;20;42;1066;18057;15;38
4;-180;75;180;70;-812.569408;-794.2733743;-775.826554;0.323537793;-107493025;-381693916;-8543642;0.036595589;0.020138751;0.114422529;-749.7073683;16809930;1.881881603;239391.6979;0.509629214;1.031228193;42.52155264;20.75737347;1.49776162;30.31142023;14.34707127;0.681384359;6.336915875;15.30253949;-0.997213913;-2;7.334833586;16.71814606;1.39E+12;360.2864336;4.934072502;10.41683672;313.3282582;0.495997336;32.21776293;-0.010379075;2.498087893;5532;532330;27;46.56122;3936;156710;26;42;3448;338628;21;45;1922;36992;20;45
5;-180;70;180;65;-761.8627805;-741.6513652;-721.3061729;0.429219341;-46914559;-154249786;-3919257;0.051288332;0.030477477;0.124020366;-655.5994074;50430817;2.732218533;58620.97842;0.289537787;0.441014829;41.08663085;24.46917029;2.041163486;31.89128382;9.585939092;2.846759681;9.158483768;18.05382625;-0.070458975;-2;9.229803769;17.03014174;1.72E+12;340.6311815;4.653751597;10.5999119;305.1701551;0.687200623;33.02655261;0.808992091;3.536830885;6117;613256;23;43.23897;4340;301797;23;35;2928;260852;20;43;2205;50606;19;45
6;-180;65;180;60;-906.2262862;-879.2182803;-852.7349544;0.474018316;-65708795;-194247792;-4551247;0.063489692;0.045673515;0.117378746;-817.8217903;73299259;4.07106581;36010.30897;0.167999277;0.206610898;69.54421315;25.62993083;2.25851008;32.19921685;8.302431141;5.097104554;11.25189327;22.5650198;1.613016833;-2;9.641288982;17.83496437;1.80E+12;318.4849452;6.096287265;13.63259421;277.341484;0.48498434;32.97208707;2.403567819;2.937724954;8149;1909483;25;45.60399;6439;1238522;24;43;3666;620595;20;45;3058;49011;18;45
7;-180;60;180;55;-1551.512536;-1516.570792;-1481.545961;0.49164392;-109302156;-506323704;-7733209;0.049525222;0.024165145;0.117170493;-1463.00792;113859759;8.045399652;27067.44784;0.082941968;0.101779307;59.84904637;26.16243684;2.328219363;31.8944601;10.9432777;6.408898547;13.0530591;23.44906314;2.10258473;-2;10.95047607;19.08498673;1.76E+12;312.0644725;8.532154639;20.93990553;218.7247642;0.416187648;33.02124279;2.853323391;2.422808925;13028;7566285;29;38.49429;11174;7402048;29;38;3123;116658;22;39;2916;45587;21;40
8;-180;55;180;50;-2812.186865;-2746.786999;-2679.430627;0.507263404;-79880220;-822156891;-2132773;0.057704112;0.019428794;0.1067412;-2674.093201;190168178;12.44618125;7544.059562;0.025804449;0.029308901;46.54700242;24.57616666;2.387819374;32.93412894;13.20807858;7.757637545;13.95559999;23.59299253;3.478871489;-2;10.4767775;18.61912214;1.61E+12;303.1922306;10.3801457;27.57188213;183.8246159;0.356177414;34.24354316;2.684234789;1.453149667;14671;7110638;26;43.42677;12275;6339164;26;43;3156;650912;18;34;3364;101915;16;38
9;-180;50;180;45;-3664.126998;-3603.084706;-3538.20437;0.423112986;-54103761;-1156325198;-2200785;0.062431506;0.015317544;0.096098933;-3550.168223;195804477;13.89475249;2961.300999;0.009383678;0.010349615;43.94364407;25.33119744;2.187435041;33.02304817;11.71414145;9.571800666;16.44972805;28.97286832;4.825193738;-1.955085269;11.62453432;21.40018489;1.08E+12;294.1765725;8.843513393;28.81420138;184.3216996;0.164798765;34.3435451;2.141347391;1.026700137;13822;2984944;28;41.67695;10318;2364420;26;41;3374;506880;19;39;4443;110516;24;40
10;-180;45;180;40;-3919.220999;-3847.31229;-3771.467081;0.371938581;-75491160;-1444816902;-1888969;0.068760544;0.016253156;0.088278365;-3800.292805;195776139;16.14757507;200.7810916;0.00054464;0.000739891;39.65361459;28.70416284;2.014334806;33.36164227;5.89907587;13.68325758;21.51619215;29.91483205;7.653486006;-2;13.86321311;24.17788667;1.11E+12;266.1100879;3.396022519;26.61291918;184.7848725;0.113375959;34.27972398;2.905118011;0.84460503;19870;3323673;29;40.32208;14567;2886544;28;39;5403;187022;20;42;6600;198141;26;41
11;-180;40;180;35;-4099.814136;-4020.169427;-3935.600262;0.306009501;-68470628;-1668981037;-1305663;0.088482339;0.020335383;0.077192219;-3971.042371;184282933;16.69941914;5.64752222;1.39E-05;1.81E-05;41.47817898;33.42005496;1.757883922;34.96229486;3.187611354;18.45301093;25.31220452;30.95858291;12.69250802;-1.545863441;12.6196965;24.15489258;1.07E+12;239.7028559;1.199885848;25.80549222;198.3739398;0.19596671;35.09989196;3.540896198;0.929497821;23134;1925141;28;45.88947;14675;1060748;25;45;5171;141406;23;41;8312;556993;22;40
12;-180;35;180;30;-4241.178512;-4161.571357;-4074.833867;0.209110733;-62102776;-1757251734;-1564784;0.075064754;0.021333727;0.066476471;-4132.588649;156995141;14.28254301;0;0;0;40.73033721;37.67806456;1.455537977;35.34706498;2.387461298;21.25926681;26.73823091;36.25792295;16.25787152;2.954287293;10.48035939;21.82586277;9.02E+11;228.0094165;0.545428142;27.19005443;193.4501665;0.183899397;35.00014561;3.548866183;0.983556655;28096;1386301;29;41.66823;20082;1059834;28;40;5312;90035;23;36;5938;151144;21;37
13;-180;30;180;25;-4278.541677;-4186.490059;-4085.54231;0.127108444;-45474622;-1837868970;-1816124;0.050463564;0.01902191;0.060299612;-4162.522631;122843976;11.76161386;0;0;0;35.73840917;41.46683822;1.24355896;35.55617745;2.244091677;23.72750054;27.84460771;36.48504833;19.38393123;5.968575488;8.460676478;18.70345752;1.16E+12;217.8631396;0.1915692;28.60196743;190.4092985;0.149698286;34.87452854;3.568125457;1.012250989;31356;2375356;30;45.96862;23578;2119796;27;46;4534;74069;20;36;6175;143321;22;42
14;-180;25;180;20;-4178.941201;-4080.88278;-3975.293746;0.129265048;-71706965;-1956241776;-1341205;0.06975022;0.017067184;0.06031387;-4054.549987;101506494;11.19705815;0;0;0;31.28866556;44.36954831;1.322456851;35.42389067;2.34507936;25.5697207;28.51120294;36.06479424;22.25375836;11.8461249;6.25744458;15.20009292;1.23E+12;210.60996;0.288735101;29.55639254;182.8950433;0.176325774;34.82911103;3.633841722;0.771599609;35062;2153192;29;42.88518;25317;1872985;28;41;5750;70807;19;42;5603;130851;23;40
15;-180;20;180;15;-4062.495115;-3959.413318;-3849.282812;0.120208349;-106460979;-2073164382;-1183850;0.091594595;0.014866549;0.060979115;-3940.565958;81528184;10.81591951;0;0;0;28.64260457;45.92486568;1.301070301;34.91020188;2.782841695;26.86741718;29.19069251;34.17502165;24.26384672;16.1207218;4.92684579;10.39412488;1.19E+12;206.5344708;0.261633934;31.09615596;175.1427523;0.088883202;34.80839973;3.095501089;0.540770704;23583;854731;27;46.76315;16799;753605;26;46;3353;32833;16;41;4218;38498;18;43
16;-180;15;180;10;-4103.7276;-4014.53158;-3919.379243;0.143750137;-109147391;-2258613700;-1197143;0.140207286;0.018526424;0.06525492;-3989.222549;110308222;18.1376209;0;0;0;25.19006274;46.19819344;1.401103729;34.43953143;2.710625286;27.68641428;29.65554372;33.99062328;25.56904118;16.34512447;4.086502546;11.19965595;1.60E+12;204.5092657;0.347096757;31.60424384;171.0339728;0.093961177;34.75107491;3.092690128;0.575700162;28244;826661;29;44.7232;19376;651907;26;43;5046;33762;17;47;5920;85043;27;42
17;-180;10;180;5;-3797.519732;-3708.582685;-3614.050079;0.149720857;-111377620;-2071547014;-1790175;0.1371146;0.017667839;0.067944904;-3689.028402;93422636;14.87671339;0;0;0;22.55653422;43.83289305;1.398419332;34.09562895;2.737259702;28.21470855;29.77505565;32.68921217;26.38238436;16.9909791;3.392671291;11.32021082;1.77E+12;203.0562246;0.688033334;31.89235502;167.7926522;0.120385215;34.68669013;3.380726653;0.605537304;22240;492106;24;47.51351;15158;391960;23;46;2741;12408;16;47;3959;18174;20;47
18;-180;5;180;0;-3853.955549;-3783.023806;-3707.751517;0.177290965;-124760432;-2183130930;-1444888;0.217233867;0.017302918;0.070751274;-3767.430928;56202712;10.20754497;0;0;0;19.94765227;46.21496177;1.45255439;34.40238978;2.879054521;28.04871589;29.64843701;33.29303231;26.07980594;19.55555478;3.568631069;9.420094971;1.97E+12;204.0240002;1.429431676;32.01764014;174.7984926;0.113658854;34.64569171;2.866316477;0.49900713;13418;260876;24;46.17843;8102;202905;22;45;1387;6599;13;46;2636;19786;19;42
19;-180;0;180;-5;-3859.009375;-3780.217078;-3696.576746;0.199750836;-115514812;-2106320638;-1041721;0.212766205;0.018622257;0.072128689;-3751.244981;61705762;9.957321773;0;0;0;20.81830533;48.16288516;1.521492179;34.92270199;2.625650295;27.55245719;29.53252821;32.44330885;25.21915395;16.43587832;4.313374266;9.503777485;2.05E+12;205.4749809;2.038147536;31.96517762;178.3542499;0.097749587;34.67623265;2.896737668;0.487727945;17982;323192;24;45.59756;9831;178257;22;45;1853;8253;14;47;3548;23843;16;45
20;-180;-5;180;-10;-3947.779804;-3853.533711;-3753.761841;0.17323105;-98935704;-2185013218;-1388609;0.128901486;0.01652286;0.067837719;-3830.04014;65164119;10.95406258;0;0;0;26.32920473;47.10775337;1.450055854;34.95998882;2.325266706;27.45291447;29.45180947;32.22335852;25.2550818;14.29039488;4.196727672;9.500580313;1.52E+12;205.3335692;1.313965106;31.97905184;178.0288429;0.094153139;34.70099858;2.921324703;0.57042674;23128;298620;24;48.27888;11730;155685;21;46;3704;30180;13;47;4107;27243;19;47
21;-180;-10;180;-15;-3923.559864;-3827.961973;-3726.073785;0.130291326;-130136495;-2248011471;-1434088;0.119419811;0.013498079;0.060458082;-3814.972757;55822178;10.62545514;0;0;0;30.70386583;46.58597769;1.322544881;35.24084654;1.838373559;26.74626907;28.97776423;33.19604462;24.38481589;12.9113927;4.592948337;11.00100623;1.05E+12;206.2065391;0.559157101;31.66253843;183.9090543;0.093801337;34.72001253;2.872143174;0.516097556;25739;1006891;23;48.09653;15693;837619;21;47;3130;22727;20;47;3625;21813;19;47
22;-180;-15;180;-20;-3890.651788;-3797.094335;-3697.323056;0.119940858;-136434436;-2136792650;-850424;0.084222107;0.012725458;0.055841835;-3784.746;63571556;10.36069155;0;0;0;35.79028125;45.72823678;1.235578651;35.51675093;1.617389647;25.39981616;28.02878434;33.16811547;22.76484142;13.01084926;5.263942925;10.83525698;8.38E+11;210.4085659;0.269052508;32.03536345;184.5926541;0.0655549;34.73309706;2.551181511;0.472071025;30254;2314483;25;34.97886;18760;2112811;24;33;5174;33702;17;49;4173;18088;18;47
23;-180;-20;180;-25;-3974.250309;-3875.94962;-3772.975035;0.109031681;-128137047;-2158685592;-665056;0.056291169;0.012349653;0.051647064;-3868.560529;55590030;8.73066639;0;0;0;37.84101123;43.94222203;1.145116487;35.65912431;1.586372217;23.85269699;27.05063352;32.32190734;20.89974849;11.75007269;6.15088503;9.006675993;7.31E+11;216.0590761;0.1657932;32.13240097;189.5047747;0.046149766;34.73873024;2.057897681;0.419583519;38304;1773504;27;41.77775;22344;1472862;25;39;7275;72057;20;46;7140;40701;21;49
